Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2014,AK,"1,784",397,202,"1,185",799,984,1,,"1,720",64,653,142,14,781,50,144,178,7,171,0,,173,5,111,21,0,37,0,9
2014,AL,"4,561",772,366,"3,423","1,681","2,806",4,,"4,368",123,"1,982","2,345",17,20,2,125,542,49,488,1,,535,2,249,282,0,2,0,4
2014,AR,"2,936",355,315,"2,266","1,113","1,098",0,,"1,669",542,"1,445",714,11,6,2,33,361,71,179,0,,241,7,143,96,1,1,0,7
2014,AS, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2014,AZ,"10,495","2,679","1,024","6,792","3,900","5,531",15,,"6,984","2,462","6,056","1,823",33,766,67,701,858,62,678,3,,639,94,536,122,1,49,6,19
2014,CA,"113,952","15,057","13,853","85,042","20,974","30,954",95,,"35,550","16,473","31,703","13,921","1,030","1,916",758,"2,695","12,096","1,038","4,804",8,,"3,722","1,755","3,153","1,765",104,190,77,188
2014,CO,"10,028","2,835","1,004","6,189","3,701","5,284",38,,"6,419","2,604","5,330","2,060",91,474,64,"1,004",753,63,602,1,,589,71,469,115,2,27,4,43
2014,CT,"4,450",836,308,"3,306","1,404","2,125",2,,"2,572",959,"1,680","1,505",30,113,78,125,295,14,207,1,,205,16,141,72,1,3,1,3
2014,DC,"7,748","2,241",837,"4,670","3,326","4,406",16,,"7,417",331,552,"6,886",38,13,2,257,406,47,359,0,,384,22,44,343,4,0,0,15
2014,DE,901,220,51,630,390,511,0,,843,58,358,519,2,5,2,15,93,5,88,0,,91,2,42,49,0,0,0,2
2014,FL,"41,542","8,579","3,522","29,441","11,959","22,057",40,,"29,847","4,209","20,106","12,743",130,270,80,727,"4,552",518,"3,446",0,,"3,373",428,"2,511","1,212",8,30,2,38
2014,GA,"16,521","2,716","1,246","12,559","3,920","6,967",27,,"10,470",444,"2,371","8,126",34,7,10,366,"1,443",144,865,0,,940,15,190,681,0,0,2,82
2014,GU,"1,356",535,149,672,658,697,1,,"1,345",11,11,5,25,7,"1,277",31,36,0,36,0,,34,2,4,2,1,2,26,1
2014,HI,"6,918","1,864",507,"4,547","2,896","3,998",24,,"6,056",862,"1,683",227,394,87,"2,603","1,924",593,43,549,1,,539,54,267,58,41,15,101,111
2014,IA,"3,122","1,030",311,"1,781","1,431","1,690",1,,"2,855",267,"1,972",818,19,84,4,225,202,17,185,0,,194,8,158,33,0,2,0,9
2014,ID,"2,104",518,186,"1,400",894,"1,209",1,,"1,889",215,"1,830",88,16,136,11,23,215,27,188,0,,205,10,187,13,2,11,0,2
2014,IL,"13,107","3,592","1,450","8,065","6,111","6,591",21,,"11,426","1,297","4,473","7,582",114,64,37,453,"1,234",108,"1,089",0,,"1,081",112,479,653,9,13,0,39
2014,IN,"5,971","1,277",546,"4,148","2,290","3,678",3,,"5,680",291,"3,696","2,007",25,32,7,204,725,41,683,1,,703,22,431,258,0,3,1,32
2014,KS,"2,783",707,192,"1,884","1,150","1,548",3,,"2,441",260,"1,855",622,15,90,2,117,393,17,366,1,,364,19,240,102,0,11,0,30
2014,KY,"5,089","1,073",484,"3,532","1,998","2,997",3,,"4,821",177,"3,351","1,371",13,32,3,228,600,37,542,1,,574,5,343,229,1,3,0,3
2014,LA,"4,606",860,470,"3,276","1,746","2,844",16,,"4,470",136,"1,515","2,871",23,58,11,128,437,37,399,1,,424,13,186,226,1,10,1,13
